date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:06	22001/22001	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:25%20GMT	https://www.hemstedt.de/fileadmin/user_upload/300_Kuhlhaus.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/300_Kuhlhaus.jpg	(from https://www.hemstedt.de/en/)
09:31:06	43933/43933	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:31%20GMT	https://www.hemstedt.de/fileadmin/user_upload/300_Industrie.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/300_Industrie.jpg	(from https://www.hemstedt.de/en/)
09:31:06	27675/27675	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:32%20GMT	https://www.hemstedt.de/fileadmin/user_upload/4_ATEX.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/4_ATEX.jpg	(from https://www.hemstedt.de/en/)
09:31:07	30870/30870	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:07%20GMT	https://www.hemstedt.de/en/company/sponsoring/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/company/sponsoring/index.html	(from https://www.hemstedt.de/en/)
09:31:07	23437/23437	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:22%20GMT	https://www.hemstedt.de/fileadmin/user_upload/5_Frostschutz.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/5_Frostschutz.jpg	(from https://www.hemstedt.de/en/)
09:31:07	35304/35304	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:26%20GMT	https://www.hemstedt.de/fileadmin/user_upload/300_Helikopter.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/300_Helikopter.jpg	(from https://www.hemstedt.de/en/)
09:31:07	36926/36926	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:08%20GMT	https://www.hemstedt.de/en/company/green-electric-matreg-low-energy-heater/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/company/green-electric-matreg-low-energy-heater/index.html	(from https://www.hemstedt.de/en/)
09:31:07	41800/41800	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:26%20GMT	https://www.hemstedt.de/fileadmin/user_upload/1_Wohnzimmer.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/1_Wohnzimmer.jpg	(from https://www.hemstedt.de/en/)
09:31:07	27580/27580	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:21%20GMT	https://www.hemstedt.de/fileadmin/user_upload/130_Aussen.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/130_Aussen.jpg	(from https://www.hemstedt.de/en/)
09:31:08	41486/41486	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:29%20GMT	https://www.hemstedt.de/fileadmin/user_upload/2_ATEX.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/2_ATEX.jpg	(from https://www.hemstedt.de/en/)
09:31:08	40582/40582	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:32%20GMT	https://www.hemstedt.de/fileadmin/user_upload/4_Industrie.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/4_Industrie.jpg	(from https://www.hemstedt.de/en/)
